22,6,2708,9,4,4,1,1,4,1,16,0,31,37,2
33,5,2743,9,4,2,4,0,4,1,0,0,4,37,2
21,3,1444,11,15,0,6,1,4,1,0,0,31,37,2
36,3,1603,1,13,2,6,0,2,1,0,0,31,37,2
11,3,2202,9,4,2,10,5,2,0,0,0,31,5,2
20,3,1941,12,5,2,4,5,4,0,0,0,31,37,2
32,3,637,6,11,3,8,1,2,0,0,0,7,21,2
35,5,1382,11,15,2,4,0,4,1,0,0,36,37,0
14,3,2493,12,5,4,10,1,4,0,6,0,42,37,0
25,3,624,9,4,2,4,0,4,1,54,0,31,37,0
20,3,1919,15,1,2,4,0,2,1,0,0,64,37,0
13,6,443,9,4,2,10,0,1,1,0,0,31,17,0
6,3,263,9,4,4,1,3,4,0,0,0,21,37,2
15,3,1320,7,3,4,12,1,2,1,0,0,42,37,2
23,3,257,8,2,2,3,0,1,1,0,0,31,0,0
17,3,1706,5,10,2,14,0,0,1,0,0,36,24,2
8,5,892,11,15,4,5,3,4,1,0,0,25,37,2
15,3,1040,11,15,4,7,4,4,1,0,0,31,37,2
21,3,1969,1,13,2,12,0,4,1,0,0,42,37,2
26,5,1986,12,5,0,4,4,4,0,0,0,36,37,0
23,3,1155,10,7,2,10,0,4,1,0,0,52,37,0
37,3,2043,11,15,5,8,4,2,0,0,0,12,37,2
18,1,2701,6,11,2,5,0,2,1,0,0,31,37,2
26,3,192,1,13,2,14,0,4,1,0,31,31,37,2
42,3,106,11,15,0,13,4,4,0,0,0,31,37,2
39,2,1456,9,4,2,13,0,4,1,0,0,31,37,0
2,3,752,11,15,4,3,3,4,1,0,0,31,37,2
37,0,936,15,1,2,0,0,1,1,0,0,52,33,0
22,3,2322,11,15,0,4,1,4,1,0,0,64,37,2
32,3,1152,11,15,2,3,0,4,1,0,0,31,37,2
6,2,1109,7,3,4,11,1,4,1,0,0,43,37,2
3,3,1822,15,1,4,12,3,2,1,0,0,35,37,2
28,3,2378,9,4,0,4,3,4,1,0,4,31,37,2
13,1,2616,15,1,2,1,3,4,1,0,0,31,37,2
5,6,2089,15,1,2,8,0,2,1,0,0,6,37,2
31,3,1681,1,13,4,7,4,4,1,0,0,31,31,2
